WARNING 2024-02-19 22:39:14,792 log 16072 17856 Not Found: /recipes/index/images/image_2.jpg
WARNING 2024-02-19 22:39:14,796 log 16072 5264 Not Found: /recipes/index/images/bg_1.jpg
WARNING 2024-02-19 22:39:14,797 basehttp 16072 17244 "GET /recipes/index/images/bg_2.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:14,798 basehttp 16072 17856 "GET /recipes/index/images/image_2.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:14,804 basehttp 16072 5264 "GET /recipes/index/images/bg_1.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:14,814 log 16072 9528 Not Found: /recipes/index/js/jquery.magnific-popup.min.js
WARNING 2024-02-19 22:39:14,815 log 16072 24868 Not Found: /recipes/index/js/owl.carousel.min.js
WARNING 2024-02-19 22:39:14,816 basehttp 16072 9528 "GET /recipes/index/js/jquery.magnific-popup.min.js HTTP/1.1" 404 2396
WARNING 2024-02-19 22:39:14,821 basehttp 16072 24868 "GET /recipes/index/js/owl.carousel.min.js HTTP/1.1" 404 2369
WARNING 2024-02-19 22:39:14,822 log 16072 6208 Not Found: /recipes/index/js/aos.js
WARNING 2024-02-19 22:39:14,832 basehttp 16072 6208 "GET /recipes/index/js/aos.js HTTP/1.1" 404 2330
WARNING 2024-02-19 22:39:14,834 log 16072 17244 Not Found: /recipes/index/js/jquery.animateNumber.min.js
WARNING 2024-02-19 22:39:14,835 log 16072 17856 Not Found: /recipes/index/js/google-map.js
WARNING 2024-02-19 22:39:14,837 log 16072 5264 Not Found: /recipes/index/js/scrollax.min.js
WARNING 2024-02-19 22:39:14,838 basehttp 16072 17244 "GET /recipes/index/js/jquery.animateNumber.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:14,839 basehttp 16072 17856 "GET /recipes/index/js/google-map.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:14,846 basehttp 16072 5264 "GET /recipes/index/js/scrollax.min.js HTTP/1.1" 404 2357
INFO 2024-02-19 22:39:14,849 basehttp 16072 5264 - Broken pipe from ('127.0.0.1', 14630)
WARNING 2024-02-19 22:39:14,859 log 16072 24868 Not Found: /recipes/index/images/image_1.jpg
WARNING 2024-02-19 22:39:14,862 log 16072 9528 Not Found: /recipes/index/js/main.js
WARNING 2024-02-19 22:39:14,863 basehttp 16072 24868 "GET /recipes/index/images/image_1.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:14,863 basehttp 16072 9528 "GET /recipes/index/js/main.js HTTP/1.1" 404 2333
WARNING 2024-02-19 22:39:14,879 log 16072 6208 Not Found: /recipes/index/images/image_3.jpg
WARNING 2024-02-19 22:39:14,880 log 16072 18444 Not Found: /recipes/index/images/image_5.jpg
